lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01014120,4,7,6,3
E01005316,4,8,7,7
E01006078,10,1,8,9
E01006681,7,6,6,6
E01025463,4,7,4,2
E01005522,10,1,6,9
E01011188,6,6,4,3
E01014311,8,5,6,6
E01014294,7,3,6,3
E01012573,8,1,6,3
E01010578,7,6,3,4
E01007004,9,4,10,10
E01006279,6,8,8,9
E01024962,4,7,6,4
E01012755,9,2,9,8
E01028944,7,5,3,3
E01010419,8,4,9,9
E01010792,7,2,5,2
E01029381,3,5,6,2
E01010317,5,6,7,5
E01005452,3,6,7,3
E01006911,4,4,9,5
E01006827,6,6,7,5
E01010403,9,3,10,10
E01005121,7,3,7,5
E01005237,10,1,9,9
E01028827,2,8,8,7
E01005084,8,5,5,5
E01006397,6,7,6,6
E01018384,5,4,6,3
E01004978,9,3,7,7
E01005969,9,2,8,9
E01018724,6,8,3,5
E01024930,8,2,7,6
E01025251,4,3,4,1
E01011077,2,6,5,2
E01024953,3,6,7,3
E01004942,9,3,7,7
E01033755,10,1,10,10
E01010311,9,3,10,10
E01025074,6,7,2,2
E01010086,8,5,10,10
E01012619,7,3,4,2
E01010392,4,6,5,3
E01006029,10,1,6,9
E01029773,6,8,7,7
E01006051,2,9,4,4
E01029739,4,9,4,7
E01005239,7,2,10,8
E01005716,5,4,7,3
E01006021,8,4,7,6
E01010322,6,5,8,5
E01025310,9,3,5,7
E01005948,10,1,9,10
E01005382,8,1,8,6
E01005480,6,3,5,2
E01010581,5,6,5,2
E01025286,6,7,3,3
E01006751,9,3,8,8
E01004774,9,5,8,9
E01012581,3,7,5,3
E01006273,7,5,6,6
E01005318,8,2,7,6
E01010469,6,4,8,6
E01025563,2,9,2,3
E01019728,3,8,4,3
E01006837,4,6,7,4
E01018522,6,4,7,5
E01006115,10,1,9,10
E01025501,8,8,7,9
E01012672,10,4,9,10
E01005675,5,7,7,6
E01033096,7,7,9,9
E01004867,10,1,9,9
E01006708,7,5,7,6
E01007037,9,3,4,5
E01006325,8,6,5,5
E01004980,10,1,8,10
E01006081,5,8,6,6
E01006812,7,5,7,6
E01005069,5,5,7,4
E01014126,5,2,6,1
W01000397,3,8,5,3
E01005001,5,8,9,9
E01025442,7,5,7,6
E01005334,6,4,7,4
E01005221,10,1,7,10
E01014293,9,2,7,6
E01006414,5,6,6,3
E01012545,6,4,10,8
E01025253,5,7,4,3
E01014197,4,4,3,1
E01004946,7,5,6,5
E01005640,4,7,8,7
E01033750,8,5,10,9
E01005763,7,2,8,5
E01012441,7,4,9,8
E01018336,2,8,9,8
E01006379,5,7,8,7
E01005038,6,6,6,5
E01018604,8,4,3,4
E01011076,1,9,4,4
E01005993,5,7,7,6
E01014162,6,6,4,3
E01012440,2,8,6,5
E01006076,9,3,6,7
E01032510,7,4,6,4
E01004971,9,2,5,4
E01006445,6,3,7,4
E01014151,8,6,6,6
E01006940,9,3,8,8
E01010540,7,4,5,3
E01014164,6,4,4,2
E01027556,2,9,5,6
E01006436,8,3,9,8
E01018561,4,6,8,6
E01012656,10,1,6,8
E01005939,4,8,5,4
E01010344,8,3,10,10
E01029591,6,3,5,2
W01000415,7,3,3,2
E01025066,8,6,2,4
E01011154,2,5,5,1
E01025196,10,2,4,9
E01010544,5,7,5,4
E01029782,4,8,6,5
E01014269,7,7,5,6
E01004834,10,1,8,9
E01006346,7,6,9,8
E01005231,9,1,8,8
E01005761,7,6,8,7
E01006566,10,4,9,10
E01010562,8,4,10,9
E01025543,6,6,5,4
E01006656,10,2,9,9
E01006109,9,1,9,8
E01006054,4,3,8,3
E01010373,7,4,9,8
E01025537,4,6,7,3
E01005797,10,1,9,9
E01006371,9,2,8,8
E01010859,4,6,4,2
E01018679,2,8,4,3
E01004770,7,7,9,9
E01006614,10,3,8,9
E01005652,4,6,6,3
E01028887,2,8,5,3
E01012680,10,3,8,10
E01006633,7,2,6,4
E01006548,10,1,7,9
E01006164,7,6,7,7
E01012643,9,1,8,8
E01010838,9,1,9,7
E01006171,7,4,7,4
E01005696,8,4,7,6
E01005015,7,8,8,9
E01010541,3,9,6,6
E01006550,10,1,5,10
E01006881,10,1,9,9
E01012569,3,8,7,5
E01007164,4,7,5,3
E01004808,6,6,5,4
E01006306,9,3,7,8
E01012621,8,2,7,5
E01029579,6,4,8,6
E01029808,9,2,5,4
E01028950,1,10,2,7
E01025178,3,9,4,6
E01025203,4,9,6,7
E01024983,7,5,2,2
E01004776,5,8,8,8
E01028941,4,3,4,1
E01012505,6,5,8,5
E01006142,8,5,7,6
E01028989,6,6,4,3
E01006455,8,5,6,6
E01010678,3,8,5,4
E01007143,4,7,7,5
E01018515,2,10,3,7
E01006283,7,6,8,7
E01005473,7,4,7,5
W01000379,6,6,4,3
E01012555,3,7,8,7
E01009973,3,6,9,7
E01006609,9,1,7,6
E01005261,8,5,7,6
E01018383,6,4,7,3
E01006501,4,7,6,4
E01033654,10,1,10,10
E01005923,5,6,8,6
E01010909,3,3,7,1
E01025467,7,6,6,5
E01029523,3,9,8,9
E01007053,7,4,8,7
E01012394,9,2,8,8
E01014312,7,4,4,2
E01006472,6,7,8,8
E01005191,10,1,8,9
E01025561,1,10,7,8
E01005433,10,1,9,9
E01007177,7,6,5,4
E01014356,9,4,5,7
E01005085,5,6,6,3
E01012450,7,6,7,6
E01011234,5,4,7,3
E01010951,7,2,8,6
E01029505,4,9,9,9
E01005957,9,1,8,7
E01004882,9,3,7,7
E01029797,1,10,5,9
E01005024,10,1,9,10
E01005953,8,2,9,8
E01006335,9,4,6,6
E01010398,4,5,8,5
E01012747,9,4,7,7
E01005483,10,1,7,8
E01011152,2,4,6,1
E01029669,2,9,7,8
E01006022,10,2,5,8
E01014309,7,3,5,3
E01025070,8,3,2,3
E01018747,7,6,5,5
E01006098,9,3,9,8
E01029556,2,9,3,5
E01010326,6,4,7,5
E01010777,7,4,5,3
E01024874,3,9,4,5
E01010644,2,5,4,1
E01014277,6,4,7,4
E01033224,10,1,5,9
E01019713,3,9,8,8
E01029540,6,7,4,4
E01005278,9,3,7,7
E01014200,3,8,3,3
E01005565,6,5,7,6
E01029754,4,9,6,6
E01033749,9,3,5,5
E01014147,4,6,5,2
E01010439,4,7,6,4
E01018743,4,8,4,4
E01006329,3,7,10,9
E01025559,5,9,2,4
E01006009,7,3,8,5
E01006336,7,6,8,7
E01018733,6,8,7,7
E01028865,2,7,4,2
E01025319,2,10,3,6
E01005133,9,1,10,9
E01006883,1,9,7,6
E01025186,7,1,6,3
E01006202,10,1,9,9
E01006410,5,7,9,9
E01014218,8,5,3,4
E01005160,8,3,5,4
E01025078,4,7,4,3
E01010313,7,5,10,10
E01005729,9,2,9,9
E01024934,9,2,7,6
E01014196,2,8,5,4
E01032556,7,2,8,6
E01010385,4,6,6,3
E01007128,10,2,6,9
E01004820,10,2,10,10
E01006104,3,4,9,6
E01029411,1,10,3,8
E01005009,10,1,6,9
E01025358,3,9,7,8
E01006854,6,8,8,8
E01025533,1,8,7,5
E01006344,7,6,10,9
E01004939,7,8,8,8
E01006492,3,7,7,5
E01006333,10,1,6,9
E01029589,4,4,5,1
E01005616,8,9,8,9
E01014231,9,2,6,5
E01005631,10,1,10,10
E01029616,3,9,8,7
E01010941,3,5,7,3
E01029718,5,8,5,5
E01007294,9,3,7,6
E01006669,6,5,5,2
E01014291,7,3,7,5
E01006748,9,2,9,8
E01006698,10,2,8,9
E01029720,9,2,3,5
E01005516,5,6,8,6
E01010452,5,6,10,8
E01029423,1,9,7,7
E01025054,4,8,5,4
E01028875,7,9,5,8
E01029460,9,5,5,7
E01028894,6,3,4,2
W01000256,3,8,5,4
E01025491,4,9,6,7
E01014251,10,2,6,8
E01006343,4,6,9,7
E01027565,3,4,5,1
E01024982,6,6,2,3
E01024913,3,7,7,5
E01006825,3,7,7,5
E01012549,4,5,7,3
E01024897,9,2,7,7
E01005735,6,5,6,3
E01010328,4,7,7,5
E01006365,6,6,7,5
E01005590,7,3,6,3
E01012421,4,7,9,8
E01025311,10,3,5,8
E01025457,4,3,4,1
E01024891,7,1,8,5
E01005997,10,2,8,9
E01025031,3,9,5,6
E01018428,2,9,7,8
E01014205,8,5,8,8
E01018654,2,10,6,8
E01005771,10,2,7,9
E01005427,8,1,8,6
E01014128,6,6,6,4
E01006172,8,5,8,7
E01005689,9,4,10,10
E01004857,9,2,6,6
E01010375,8,2,9,8
E01006965,8,2,9,8
E01006026,9,5,5,6
E01010592,2,8,5,4
E01012753,8,3,9,8
E01006144,8,5,6,6
E01006257,9,2,8,8
E01005852,8,3,8,6
E01010422,9,3,10,10
E01006697,10,1,8,10
E01005756,5,7,6,4
E01010739,9,2,9,8
E01009970,3,3,9,4
E01005692,10,2,7,9
E01029746,8,8,5,8
E01006278,7,7,9,9
E01011085,3,7,5,3
E01005293,8,5,8,8
E01007140,8,5,7,6
E01005880,3,8,4,4
E01025414,2,9,4,5
E01005920,7,5,7,6
E01010528,8,2,9,8
E01005248,6,6,8,7
E01018345,6,5,7,5
E01007014,9,7,8,9
E01011210,4,3,5,1
E01006238,9,3,5,5
E01018693,3,8,6,6
E01005276,10,2,9,10
E01025077,6,5,5,3
E01005780,8,3,8,7
E01005748,5,6,7,5
E01006248,2,7,4,2
E01009967,4,6,10,9
E01010251,5,7,7,5
E01028839,2,9,2,4
E01025427,8,4,6,5
E01007055,7,4,5,3
E01010887,2,9,2,5
E01006629,7,6,5,5
E01032485,2,10,6,7
E01007063,9,1,6,6
E01012378,7,3,7,4
E01006136,7,6,6,5
E01024893,10,2,4,6
E01006592,9,3,7,7
E01007031,6,5,5,3
E01012565,3,6,7,4
E01006270,6,6,7,5
E01005324,4,3,7,2
E01005657,9,1,9,9
E01005388,6,5,7,5
E01006762,8,3,7,6
E01025018,4,5,4,1
E01012403,5,7,9,7
E01007035,9,1,4,4
E01005086,6,2,8,5
E01005656,10,1,9,10
E01006300,7,8,6,7
E01005971,9,3,8,8
E01029716,7,3,4,2
E01004795,7,5,6,5
E01018559,4,5,7,3
W01000346,1,10,2,6
E01005864,9,2,7,8
E01014350,6,6,4,3
E01011239,9,1,7,7
E01007083,9,5,7,8
E01005076,10,2,7,8
E01029509,1,10,7,9
E01019768,7,5,5,3
E01005964,7,6,8,8
E01006361,6,4,6,3
E01010763,6,5,8,5
E01005325,5,4,7,3
E01018487,10,1,8,10
E01010513,7,6,6,5
E01012554,3,10,9,10
E01024879,6,4,6,3
E01006934,10,3,6,8
E01033695,3,5,9,5
E01005417,4,8,8,7
E01005831,9,2,8,7
E01029628,4,6,6,3
E01029566,7,4,7,5
E01005916,7,5,9,8
E01004870,9,1,9,8
E01006510,6,6,7,5
E01029480,2,9,8,8
E01006709,9,3,7,7
E01006488,7,5,9,8
E01025578,4,7,5,3
E01018723,7,7,3,5
E01010526,7,2,8,5
E01032899,10,4,6,8
E01006832,9,2,10,10
E01025506,3,9,6,7
E01010582,8,4,5,3
E01006641,6,7,8,7
E01009416,4,8,8,6
E01010336,5,5,10,9
E01025536,3,5,4,1
E01006740,4,5,8,5
E01010719,9,2,6,5
E01005818,9,2,9,8
E01006831,7,2,8,5
E01012425,9,3,8,8
E01025448,6,5,5,3
E01029594,3,4,4,1
E01029708,1,10,5,8
E01006176,9,4,6,6
E01005866,10,1,7,8
E01029776,3,8,8,7
E01006299,7,7,5,5
E01018656,5,7,5,4
E01018444,2,9,6,7
E01033765,6,4,9,8
E01005129,7,3,9,8
E01006626,9,3,6,6
E01024869,3,9,4,4
E01018398,10,4,6,8
E01005811,4,6,5,2
E01006959,9,5,8,8
E01019714,3,9,3,6
E01012388,7,3,9,8
E01010485,6,3,8,5
E01005363,9,3,9,9
E01005092,9,2,8,8
E01005912,3,8,6,5
E01010386,5,3,6,2
E01005718,8,3,8,7
E01006779,9,2,9,9
E01032930,10,2,7,10
E01025492,5,8,7,6
E01006354,9,2,7,7
E01005023,3,6,8,4
E01010267,4,5,9,6
E01006094,8,4,9,8
E01024878,8,4,5,4
E01010950,8,4,8,7
E01025045,8,6,7,7
E01010321,5,4,7,4
E01029493,4,9,7,7
E01025569,8,5,7,7
E01006958,10,2,9,10
E01018503,5,7,5,4
E01006129,7,3,7,5
E01025434,7,8,4,6
E01005186,6,3,9,8
E01006904,7,2,7,4
E01006822,6,5,7,4
E01018352,5,5,5,2
E01012507,8,2,7,5
E01029764,5,6,7,5
E01010575,9,2,7,7
E01004837,4,8,8,8
E01029768,6,8,4,6
E01005787,6,6,6,5
E01006848,5,6,6,4
E01006791,8,3,7,6
E01004982,5,8,7,7
E01018725,2,10,3,7
E01005911,6,5,5,3
E01005296,10,3,9,10
E01006593,10,2,7,8
E01025267,7,5,4,3
E01005420,5,7,9,8
E01006913,4,6,7,4
E01005272,7,2,7,3
E01012731,7,6,4,4
E01005443,5,7,8,7
E01006293,9,6,6,8
E01025195,8,6,5,6
E01010847,9,3,9,8
E01029703,2,10,6,8
E01006935,8,4,6,6
E01005042,9,2,5,5
E01004848,9,2,10,10
E01006364,6,4,7,4
E01024924,3,9,8,8
E01025211,3,9,6,6
E01005067,5,4,10,8
E01005088,7,4,8,6
E01005189,9,1,9,9
E01028857,2,10,5,8
E01006249,3,7,5,3
E01006450,9,4,9,9
E01006174,10,2,8,9
E01005125,8,2,8,7
E01006727,8,3,8,7
E01005033,9,4,7,7
E01007179,9,1,7,6
E01006403,7,6,8,7
E01010539,7,4,6,4
E01006611,10,3,8,10
E01011039,4,4,5,2
E01010876,7,6,8,7
E01012368,9,2,9,8
E01018311,4,2,5,1
E01033672,7,3,10,9
E01005376,9,4,9,9
E01029728,6,5,6,4
E01005043,9,1,5,4
E01005061,6,3,10,8
E01028870,1,10,3,8
E01014240,7,3,7,5
E01011047,3,7,5,3
E01005844,7,6,6,4
E01018583,5,5,5,2
E01033688,8,4,9,9
E01019716,10,4,3,8
E01005174,9,1,8,8
E01006622,8,4,7,6
E01006473,7,6,9,8
E01004988,9,2,7,7
E01005807,6,4,6,3
E01010980,7,6,5,5
E01010567,8,4,9,9
E01005313,9,3,8,8
E01005618,8,8,8,9
E01025470,3,7,4,2
E01006689,8,3,6,6
E01012498,3,4,7,2
E01006946,4,5,3,1
E01010744,9,5,10,10
E01025314,9,2,8,7
E01025535,2,9,7,7
E01005090,8,3,8,7
E01005240,8,2,8,7
E01007115,8,3,6,5
E01006239,9,4,9,9
E01006815,7,4,6,4
E01005462,7,3,9,7
E01005710,6,5,9,8
E01010860,2,8,3,3
E01010358,5,2,7,2
E01006479,6,3,8,5
E01007029,4,7,3,2
E01010365,8,1,10,10
E01025306,10,1,5,7
E01025190,6,5,4,2
E01005774,8,5,6,6
E01005775,10,3,7,9
E01010836,10,1,9,9
E01012696,8,3,10,9
E01012525,8,2,9,8
E01018553,8,4,7,6
E01006152,7,5,8,7
E01025555,6,8,8,7
E01005954,7,3,7,4
E01006290,8,7,8,8
E01007278,9,2,8,7
E01006327,5,7,5,4
E01006532,5,7,6,5
E01006321,2,8,5,3
E01018718,4,8,8,7
E01033378,2,9,7,8
E01006978,6,3,7,4
E01010802,4,4,7,2
E01024885,10,2,5,9
E01005568,7,3,9,7
E01010693,6,6,3,3
E01010316,6,2,10,9
E01010522,6,5,7,5
E01005591,6,2,5,1
E01005943,9,3,8,8
E01006247,6,7,9,9
E01005504,9,2,8,9
E01025359,2,9,7,6
E01005176,10,1,7,10
E01006416,5,5,9,7
E01012709,9,1,8,8
E01007058,9,3,8,8
E01010729,5,7,5,4
E01005108,9,2,9,9
E01005573,3,7,5,3
E01012439,3,9,6,6
E01012518,3,9,7,8
E01005970,7,6,8,7
E01025226,8,4,4,4
E01005578,6,3,9,6
E01009133,6,3,8,5
E01025451,3,9,6,5
E01005537,5,8,7,7
E01007049,8,5,10,9
E01014321,7,4,6,4
E01029390,4,9,4,5
E01025220,9,4,4,5
E01010925,2,7,4,2
E01005713,6,5,7,4
E01005242,9,1,8,8
E01007088,9,4,7,8
E01006073,3,4,4,1
E01014368,7,3,6,3
E01025601,8,4,7,6
E01025083,6,4,6,4
E01006793,8,5,7,7
E01018523,6,5,7,5
E01005521,6,8,6,7
E01025547,2,10,2,7
E01005647,9,2,7,6
E01005857,5,6,9,8
E01005873,7,3,6,3
E01006355,9,4,7,7
E01024961,3,8,7,5
E01006578,6,5,8,6
E01011180,4,8,4,4
E01012419,5,6,9,7
E01018598,2,10,6,9
E01029507,6,8,8,8
E01029735,5,7,7,6
E01025433,8,6,6,7
E01005245,8,1,9,7
E01006951,7,3,4,2
E01025222,6,6,4,3
E01028964,4,4,3,1
E01006234,4,3,9,4
E01006901,4,7,8,6
E01029364,8,5,6,6
E01012470,2,9,9,9
E01018684,1,10,6,8
E01005837,5,4,5,2
E01029807,10,4,5,8
E01028981,8,4,3,3
E01005843,5,2,6,1
E01024890,9,6,5,6
E01005728,8,5,8,8
E01012495,4,5,9,6
E01005295,7,4,6,3
E01029520,6,7,7,6
E01010899,4,7,6,4
E01011087,2,4,3,1
E01029688,1,10,7,9
E01009419,5,8,6,6
E01005199,10,1,8,8
E01018714,9,3,7,8
E01029526,10,3,6,8
E01029525,5,9,8,8
E01024888,3,9,4,6
E01025288,6,5,5,3
E01006367,3,8,6,6
E01006050,5,4,4,1
E01006099,10,1,9,9
E01004995,6,6,8,6
E01006317,8,6,5,6
E01005892,6,4,6,2
E01025498,1,7,3,1
E01012436,2,9,6,6
E01024991,9,2,3,5
E01032686,9,3,10,10
E01014198,3,6,3,1
E01025556,8,5,7,6
E01018361,10,1,8,10
E01009433,5,8,6,7
E01006717,8,4,9,8
E01010997,3,8,4,4
E01005731,5,7,8,7
E01024995,6,7,2,4
E01007010,9,3,10,10
E01012457,9,1,7,7
E01033684,8,3,9,9
E01028873,10,7,5,9
E01010308,9,5,7,8
E01012481,8,2,8,6
E01019722,8,7,4,6
E01006826,4,7,6,4
E01005549,7,5,6,4
E01018473,6,6,7,5
E01006504,4,7,6,4
E01006408,8,4,8,7
E01006533,7,6,5,5
E01006204,9,2,8,8
E01005935,7,4,6,4
E01010910,3,7,8,5
E01024959,4,5,9,6
W01000341,8,4,4,3
E01029596,4,8,5,4
E01006205,8,3,6,5
E01006547,10,1,7,10
E01014104,5,7,4,3
E01028961,1,10,2,9
E01005188,8,4,8,7
E01028886,3,6,5,2
E01028943,3,4,4,1
E01005625,6,5,8,5
E01006289,7,7,8,8
E01004829,10,1,9,10
E01025541,5,8,5,5
E01005349,9,1,10,9
E01024994,6,7,3,4
E01029648,4,8,4,4
E01005745,6,4,7,4
E01006560,10,2,8,9
E01012684,9,4,9,9
E01029707,1,8,6,4
E01014248,9,3,5,6
E01005048,4,5,6,2
E01005395,8,4,4,4
E01024932,3,8,7,6
E01029474,1,9,7,7
E01010853,7,3,9,7
E01010708,6,7,5,5
E01006209,6,5,6,4
E01025343,2,10,3,6
E01006604,8,4,8,7
E01009451,9,2,6,5
E01019753,4,5,5,2
E01010784,9,2,4,5
E01029638,5,7,7,5
E01010590,2,9,5,5
E01025455,2,8,8,8
E01018547,4,6,6,3
E01005813,5,5,5,2
E01006211,7,5,8,7
E01025604,10,1,7,9
E01019761,4,7,3,3
E01014339,8,2,8,5
E01005445,10,2,7,8
E01010405,8,3,10,10
E01005547,6,7,4,4
E01018498,5,6,5,3
E01029749,2,10,4,7
E01029372,3,7,8,5
E01012531,7,3,9,8
E01007054,8,4,7,7
E01010368,10,1,10,10
E01005560,4,7,8,7
E01029777,2,9,8,8
E01004992,8,3,8,6
E01006741,5,5,8,6
E01010372,9,1,10,10
E01006440,6,6,6,4
E01025408,8,3,6,4
E01014250,8,2,6,4
E01012543,4,5,8,5
E01005883,6,4,4,2
E01006998,8,3,6,5
E01028976,1,10,3,6
E01005124,8,3,7,5
E01010851,4,5,7,4
E01007234,7,3,10,9
E01006328,10,2,5,10
E01004845,7,6,8,7
E01019740,8,4,5,4
E01033753,9,3,10,10
E01006897,3,7,8,6
E01006331,7,5,5,3
E01029486,5,8,6,5
E01025406,6,6,5,4
E01029814,9,5,6,8
E01006620,9,4,6,6
E01006729,7,4,7,5
E01018738,3,8,5,4
E01006360,6,5,6,4
E01005302,9,2,9,8
E01005704,7,1,9,7
E01010584,8,3,5,3
E01029778,2,9,5,6
E01005406,3,8,9,8
E01007130,9,2,6,7
E01004990,7,4,8,6
E01025405,8,6,6,7
E01010389,4,7,7,5
E01025460,5,7,5,4
E01014289,10,1,6,8
E01004918,8,6,7,7
E01018434,8,8,8,9
E01006919,6,8,6,6
E01014282,7,3,5,3
E01005580,9,2,7,7
E01004952,5,2,9,5
E01005670,10,2,7,8
E01006910,3,8,9,9
E01025049,4,3,4,1
E01025256,7,2,6,3
E01025333,2,9,3,3
E01005464,7,3,7,4
E01010583,3,8,4,4
E01007069,8,4,9,8
E01006772,8,3,7,7
E01005438,8,2,7,6
E01005965,9,3,8,8
E01004979,10,2,8,9
E01012582,4,6,3,1
E01005292,6,4,7,3
E01006995,7,1,5,2
E01006292,9,6,9,9
E01010555,7,2,9,6
E01012610,4,9,4,5
E01025210,6,4,4,2
E01006731,8,4,8,7
E01010324,6,3,7,4
E01014204,1,9,6,7
E01006894,6,4,8,5
E01014177,9,7,5,8
E01010845,4,6,9,7
E01014153,10,3,6,8
E01006937,8,4,8,7
E01005439,7,2,8,5
E01009468,9,4,7,8
E01010702,10,1,5,7
E01032915,8,4,10,9
E01006814,5,7,8,7
E01025352,2,9,3,4
E01025060,10,6,2,8
E01006180,9,3,7,7
E01005206,9,2,6,6
E01025390,5,7,6,5
W01000330,5,6,5,4
E01007072,9,2,9,9
E01025596,5,7,4,3
E01005592,6,5,5,2
W01000394,2,10,3,6
E01025511,2,9,6,7
E01005609,9,1,9,8
E01005820,9,1,9,9
E01028844,2,10,3,6
E01004894,9,4,8,9
E01005833,6,5,9,8
E01012734,10,1,7,9
E01005232,7,3,9,8
E01010565,7,6,10,9
E01019745,9,4,7,8
E01006761,7,2,8,5
E01005816,10,1,9,10
E01010659,5,3,8,4
E01005335,7,5,7,6
E01033258,7,1,9,7
E01006744,6,3,9,7
E01025001,6,6,4,3
E01005297,8,3,9,7
E01004997,8,3,8,7
E01004935,7,7,9,9
E01006139,8,5,6,6
E01014245,8,5,4,5
E01006295,10,3,6,10
E01006562,10,2,8,10
E01010893,9,2,9,9
E01005575,6,7,5,4
E01005854,7,4,8,7
E01018626,9,2,5,6
E01006756,5,5,8,4
E01025248,7,4,3,2
E01018460,6,5,6,4
E01005968,7,6,9,8
E01006888,6,6,9,7
E01028952,4,3,3,1
E01012692,7,4,5,3
E01012693,9,5,7,7
E01018658,5,8,5,5
E01006107,2,9,8,7
E01029514,3,9,5,5
E01012637,4,5,7,3
E01006794,9,2,7,8
E01018416,4,8,7,7
E01010395,6,6,9,8
E01006059,4,5,5,2
E01006254,7,4,6,4
E01005252,9,3,6,6
E01024920,3,5,6,2
E01029529,5,7,9,8
E01006898,3,9,8,8
E01006308,9,2,9,8
E01032684,8,4,9,9
E01010501,6,6,7,5
E01005017,8,8,6,8
E01029813,5,9,3,5
E01011042,5,3,5,2
E01005952,9,1,9,9
E01011043,8,2,8,6
E01014166,6,5,5,2
E01014175,8,8,4,7
E01024978,1,8,3,3
E01029760,4,8,7,6
E01006252,6,3,5,2
E01028972,6,5,3,2
E01005627,7,1,8,4
E01007073,9,3,5,5
E01024956,4,9,5,6
E01018401,7,6,6,5
E01029607,6,4,5,2
E01005992,9,1,8,8
E01014259,7,6,4,3
E01014333,4,5,3,1
E01029475,8,5,9,9
E01007135,7,4,5,3
E01011178,2,3,4,1
E01010875,4,8,7,6
E01006886,1,9,8,8
E01006921,3,6,2,1
E01005132,9,4,9,9
E01025185,6,2,7,3
E01006024,6,8,5,5
E01010447,6,2,10,7
E01012618,7,3,3,1
E01005882,7,4,5,4
E01014271,9,6,5,7
E01010525,6,3,8,4
E01025369,10,5,5,9
E01006003,10,4,7,9
E01018620,5,3,5,1
E01029384,5,6,6,4
E01005216,10,2,7,9
E01029715,5,7,5,4
E01010347,7,4,6,4
E01012659,7,4,7,5
E01005477,7,2,6,3
E01005982,7,8,7,8
E01005244,9,1,8,8
E01024950,4,4,5,1
E01029352,7,5,7,6
E01012683,10,2,9,10
E01005980,8,6,7,7
E01005972,9,1,8,8
E01018432,7,7,7,8
E01018587,4,5,3,1
E01018420,6,9,8,9
E01005701,8,4,7,6
E01010904,3,8,7,5
E01029743,2,9,5,7
E01018415,8,5,7,6
E01007176,7,4,7,5
E01012654,10,1,7,9
E01029353,7,6,7,6
E01005720,8,2,9,8
W01000372,9,1,5,6
E01006046,8,4,5,4
E01014299,9,4,3,6
E01025330,5,8,3,3
E01018319,9,2,6,7
E01012493,8,5,9,8
E01018490,6,5,6,4
E01011044,7,2,6,2
E01009449,10,2,6,7
E01025207,10,1,4,9
E01012451,6,7,8,7
E01010748,9,6,9,9
E01005586,4,3,8,3
E01025398,10,2,7,8
E01012571,7,2,6,3
E01029476,8,4,9,8
E01014341,8,2,6,4
E01010881,4,8,2,3
E01004885,5,9,6,8
E01005142,10,1,9,10
E01025516,8,5,7,7
E01018570,3,8,5,4
E01004865,10,2,9,10
E01006277,5,7,10,9
E01025495,2,9,5,7
E01005470,9,2,7,7
E01004877,7,3,9,7
E01010588,4,5,4,1
E01006483,6,2,6,2
E01014207,5,7,9,7
E01024968,4,4,9,6
E01005931,7,4,6,4
E01029785,4,8,5,5
E01012514,4,8,6,5
E01005312,9,1,8,7
E01029602,10,1,5,8
E01010857,2,9,6,5
E01018650,2,9,7,7
E01005270,8,3,7,6
E01025515,2,10,4,7
E01006484,7,4,8,5
E01018426,9,6,9,9
E01005809,4,6,5,2
E01005654,10,1,9,10
E01024919,4,5,6,2
E01012473,4,7,10,9
E01012697,8,3,9,8
E01005767,7,6,6,5
E01005333,6,6,7,5
E01025502,7,8,7,9
E01010971,5,2,6,1
E01025366,10,2,7,8
E01029382,3,4,6,2
E01004878,7,3,9,7
E01012458,6,6,7,5
E01018381,6,5,7,4
E01006680,7,5,7,5
E01010752,3,5,7,2
E01029637,2,7,8,5
E01004999,6,5,9,8
E01010500,8,3,7,5
E01006215,4,7,9,8
E01005208,8,1,9,8
E01029350,7,4,7,5
E01011207,4,4,7,3
E01005531,7,7,7,7
E01006253,7,6,7,6
E01033376,4,9,6,7
E01006184,7,4,7,5
E01018357,1,9,4,5
E01007090,7,6,5,4
E01005570,3,4,5,1
E01012722,6,1,3,1
E01024936,10,1,7,10
E01005150,10,1,7,10
E01012624,10,2,4,6
E01005617,8,8,8,9
E01006853,6,7,8,7
E01025404,5,6,5,3
E01029794,2,10,7,8
E01012446,2,7,7,4
E01010561,8,6,9,9
E01018528,7,3,8,5
E01012433,2,7,7,4
E01029402,6,5,8,5
E01010670,7,3,6,3
E01025443,6,8,6,6
E01011147,2,5,6,2
E01006929,8,5,6,6
E01010595,2,9,7,8
E01029687,1,10,6,8
E01005695,6,4,7,4
E01025025,7,3,4,2
E01024945,6,7,7,7
E01018418,3,9,6,7
E01018435,10,4,8,9
E01010974,9,1,7,6
E01006260,8,3,6,5
E01004780,4,8,7,7
E01033257,4,5,4,1
E01004908,4,7,7,5
W01000365,8,3,2,3
E01018698,2,10,8,9
E01012501,5,5,7,4
E01006474,9,2,9,9
E01010982,9,8,3,8
E01006216,3,6,10,8
E01005074,6,3,7,4
E01018667,3,9,4,4
E01012489,4,7,8,7
E01004936,10,3,8,9
E01025259,5,2,5,1
E01010462,6,5,6,4
E01006372,6,6,4,3
E01028885,2,10,6,8
E01028893,2,9,4,6
E01010923,9,4,2,4
E01006375,10,1,6,7
E01006720,8,2,7,5
E01005918,9,4,9,9
E01006123,8,2,8,6
E01006941,8,2,9,8
E01018596,4,6,6,2
E01010507,6,5,8,6
E01018638,6,6,7,5
E01005143,9,1,9,8
