lsoa11,r_dec,h_dec,e_dec,ahah_dec
E01015027,3,6,5,2
E01015116,3,8,6,5
E01020016,10,2,3,6
W01000040,2,10,1,7
W01000835,5,5,6,3
W01001335,2,10,7,8
E01015159,4,3,4,1
W01000653,7,6,4,4
E01015231,10,1,4,8
E01019891,1,10,2,7
E01019049,3,9,4,4
W01001767,10,1,10,10
W01001208,8,4,2,3
W01000155,7,4,3,2
W01000627,2,9,4,5
E01019956,9,5,2,5
E01020233,4,9,3,7
W01000322,4,7,6,3
W01001794,6,6,6,4
W01000636,3,8,5,4
E01020187,2,9,4,6
W01001353,4,8,6,6
W01001451,2,8,5,3
W01001704,4,6,6,3
W01000259,4,7,3,2
E01019892,2,9,2,4
W01001072,3,7,6,4
W01001023,8,6,7,7
W01000172,1,9,2,5
E01018988,2,10,5,8
W01001758,10,1,8,9
W01001706,7,3,8,5
E01007279,6,3,5,2
E01018907,2,10,2,6
W01000446,1,10,3,8
W01000078,1,10,1,8
E01029301,9,2,4,3
W01001629,8,3,6,5
W01001044,6,8,5,6
E01018960,2,7,2,1
E01015133,3,7,5,3
E01029322,2,7,2,1
E01019066,2,10,3,8
E01020038,5,5,3,2
W01000522,1,10,1,8
W01001171,5,9,5,7
W01000628,4,8,5,5
E01029284,10,1,4,8
W01001710,10,1,8,10
W01001185,5,6,6,3
W01000115,1,10,2,7
W01000991,4,8,3,4
E01007252,4,5,4,1
W01000047,1,10,2,8
E01019390,9,4,2,5
E01015101,5,5,7,3
E01019122,8,5,2,4
E01032651,2,8,3,3
W01000473,2,8,1,1
W01000676,1,10,2,6
E01029326,1,10,2,7
E01015256,10,3,4,7
W01000264,5,4,5,1
W01001053,4,9,3,6
E01015258,7,3,4,3
W01000126,4,5,3,1
W01001322,2,7,4,1
E01020192,2,9,2,5
W01001286,3,5,5,1
E01018825,2,10,6,8
W01000001,1,10,2,9
E01019094,2,10,2,7
W01000958,5,4,8,5
W01001865,6,5,8,6
E01020021,9,2,3,4
W01000662,1,10,2,6
E01019297,2,9,1,4
W01001019,6,9,3,7
W01000863,5,6,7,4
E01015134,7,2,7,4
W01000483,2,10,1,5
W01000443,1,10,2,9
E01020328,3,6,1,1
W01000293,5,8,3,4
E01019992,8,2,2,2
W01000964,3,7,7,4
W01000690,2,9,4,4
E01019018,3,9,4,4
W01000086,1,10,1,8
W01001529,2,4,6,1
W01001075,7,3,9,8
W01001523,2,6,3,1
E01029297,8,3,5,3
W01001695,9,2,10,10
W01000142,6,5,1,1
E01020058,5,9,2,5
W01001471,3,9,5,5
E01020104,7,6,1,3
E01019918,9,2,3,4
E01019176,5,8,6,6
E01020153,1,10,1,7
W01000305,7,7,3,4
W01001376,3,6,7,3
E01015142,5,8,7,7
W01000243,10,3,3,6
E01019299,7,7,2,4
E01015219,8,2,3,2
W01000232,5,7,3,2
W01000871,10,1,7,8
W01000234,5,8,3,4
W01000772,2,9,1,3
W01001049,8,7,6,8
W01000474,1,10,1,9
E01019120,9,4,2,5
W01000641,10,3,2,6
W01000795,3,8,3,3
E01020188,1,10,2,8
E01019391,3,9,3,5
W01001035,10,2,5,7
W01000304,10,2,3,7
E01020123,6,7,3,4
E01018884,4,9,3,6
E01019286,7,7,2,4
E01018880,1,10,2,8
E01015031,9,2,9,9
E01019144,2,9,1,4
W01001291,2,9,4,3
W01001184,4,8,7,6
W01001776,10,2,8,9
E01018824,5,8,2,3
W01000828,1,10,3,5
W01000203,1,10,2,8
E01018983,4,8,6,6
E01018800,1,9,5,6
E01033235,3,4,1,1
W01001477,4,8,6,5
E01019270,3,9,2,5
E01020307,1,7,1,1
W01001925,2,10,2,6
W01000812,10,3,6,8
W01000091,4,9,1,5
E01015210,6,4,4,1
W01001120,1,9,3,5
E01020107,2,6,1,1
E01015177,8,2,9,8
E01007184,9,2,4,6
W01000616,1,9,1,2
E01029287,9,3,4,5
W01000523,1,10,1,9
W01001898,1,9,2,4
E01020218,10,3,4,7
W01001753,4,6,7,4
E01028905,8,7,4,6
W01000279,6,6,5,4
E01018908,3,9,7,7
W01000947,2,9,2,3
W01001011,4,6,4,2
W01001297,3,7,7,5
W01000453,1,10,1,9
E01019041,8,4,6,5
W01001377,2,8,4,3
W01000513,10,2,2,7
W01000984,6,7,6,6
E01007209,8,4,4,3
E01018763,1,10,3,8
W01001411,4,6,4,1
W01001818,5,6,7,5
E01018970,2,10,3,6
W01001226,5,6,6,3
E01029262,2,10,3,6
E01019100,2,8,2,2
E01018899,2,10,4,7
W01000542,1,10,1,9
W01001330,3,5,8,3
E01029334,1,10,2,7
W01001541,2,9,2,4
E01020082,1,10,2,8
E01015042,5,4,10,8
E01015097,3,6,3,1
